Stadium Name,From,To,G,City,State,Primary Team(s)
Milwaukee County Stadium,1953,1994,126,Milwaukee,WI,Green Bay Packers
Rose Bowl,1976,1992,5,Pasadena,CA,
Atlanta-Fulton County Stadium,1966,1991,194,Atlanta,GA,Atlanta Falcons
Stanford Stadium,1984,1989,2,Stanford,CA,
Orange Bowl,1946,1986,177,Miami,FL,"Miami Seahawks, Miami Dolphins"
Shea Stadium,1964,1983,150,New York,NY,"New York Jets, New York Giants"
Metropolitan Stadium,1959,1981,162,Bloomington,MN,Minnesota Vikings
Tiger Stadium,1921,1974,259,Detroit,MI,"Detroit Panthers, Detroit Lions"
Tulane Stadium,1938,1974,60,New Orleans,LA,New Orleans Saints
Yale Bowl,1973,1974,12,New Haven,CT,New York Giants
California Memorial Stadium,1973,1973,1,Berkeley,CA,
Rice Stadium,1965,1973,22,Houston,TX,Houston Oilers
Yankee Stadium,1927,1973,169,New York,NY,"New York Yankees, New York Yankees, New York Yanks, New York Giants"
War Memorial Stadium,1938,1972,127,Buffalo,NY,"Buffalo Bisons, Buffalo Bills"
Cotton Bowl,1952,1971,107,Dallas,TX,"Dallas Texans, Dallas Cowboys, Dallas Texans"
Kansas City Municipal Stadium,1963,1971,64,Kansas City,MO,Kansas City Chiefs
Dyche Stadium,1970,1970,1,Evanston,IL,
Franklin Field,1958,1970,89,Philadelphia,PA,Philadelphia Eagles
Harvard Stadium,1962,1970,8,Boston,MA,Boston Patriots
Kezar Stadium,1946,1970,170,San Francisco,CA,"San Francisco 49ers, Oakland Raiders"
Wrigley Field,1920,1970,371,Chicago,IL,"Chicago Bears, Chicago Cardinals"
Alumni Stadium,1963,1969,9,Chestnut Hill,MA,Boston Patriots
Grant Field,1969,1969,1,Atlanta,GA,
Memorial Stadium (Minnesota),1969,1969,1,Minneapolis,MN,
Nippert Stadium,1968,1969,14,Cincinnati,OH,Cincinnati Bengals
Pitt Stadium,1958,1969,55,Pittsburgh,PA,Pittsburgh Steelers
Fenway Park,1933,1968,90,Boston,MA,"Boston Redskins, Boston Yanks, Boston Patriots"
Legion Field,1968,1968,1,Birmingham,AL,
Balboa Stadium,1961,1966,45,San Diego,CA,San Diego Chargers
Busch Stadium (Sportsman's Park),1923,1965,46,St. Louis,MO,"St. Louis All-Stars, St. Louis Gunners, St. Louis Cardinals"
Frank Youell Field,1962,1965,28,Oakland,CA,Oakland Raiders
Jeppesen Stadium,1960,1964,37,Houston,TX,Houston Oilers
Forbes Field,1933,1963,161,Pittsburgh,PA,"Pittsburgh Pirates, Chi/Pit Cards/Steelers"
Polo Grounds,1920,1963,246,New York,NY,"New York Giants, New York Bulldogs, New York Titans"
Braves Field,1925,1962,31,Boston,MA,"Boston Bulldogs, Boston Braves, Boston Patriots"
Griffith Stadium,1921,1960,148,Washington,DC,Washington Redskins
Comiskey Park,1922,1958,134,Chicago,IL,Chicago Cardinals
Shibe Park,1925,1957,105,Philadelphia,PA,Philadelphia Eagles
City Stadium,1925,1956,136,Green Bay,WI,Green Bay Packers
Marquette Stadium,1952,1952,3,Milwaukee,WI,
Rubber Bowl,1941,1952,3,Akron,OH,
Wisconsin State Fair Park,1934,1951,42,West Allis,WI,
Philadelphia Municipal Stadium,1931,1950,23,Philadelphia,PA,Philadelphia Eagles
Ebbets Field,1926,1948,115,New York,NY,"Brooklyn Lions, Brooklyn Dodgers, Brooklyn Dodgers"
League Park,1920,1945,38,Cleveland,OH,"Cleveland Indians, Cleveland Rams"
Erie Stadium,1938,1942,2,Erie,PA,
University of Detroit Stadium,1928,1940,34,Detroit,MI,"Detroit Wolverines, Detroit Lions"
Broadmoor Stadium,1939,1939,1,Colorado Springs,CO,
Laidley Field,1938,1938,1,Charleston,WV,
Shaw Stadium,1938,1938,3,East Cleveland,OH,Cleveland Rams
Point Stadium,1936,1936,1,Johnstown,PA,
Baker Bowl,1920,1935,17,Philadelphia,PA,"Frankford Yellow Jackets, Philadelphia Eagles"
Temple Stadium,1934,1935,2,Philadelphia,PA,
Corcoran Field,1934,1934,1,Cincinnati,OH,Cincinnati Reds
Crosley Field,1931,1934,7,Cincinnati,OH,Cincinnati Reds
Triangle Park,1920,1934,23,Dayton,OH,Dayton Triangles
Universal Stadium,1930,1934,26,Portsmouth,OH,Portsmouth Spartans
Borchert Field,1922,1933,25,Milwaukee,WI,Milwaukee Badgers
Chicago Stadium,1932,1932,1,Chicago,IL,
Thompson's Stadium,1929,1932,26,Staten Island,NY,Staten Island Stapletons
Cycledrome,1925,1931,57,Providence,RI,Providence Steam Roller
Loyola Stadium,1931,1931,1,Chicago,IL,
Frankford Stadium,1924,1930,76,Philadelphia,PA,Frankford Yellow Jackets
Mills Stadium,1930,1930,1,Chicago,IL,
Newark Schools Stadium,1930,1930,4,Newark,NJ,Newark Tornadoes
Nicollet Park,1920,1930,16,Minneapolis,MN,Minneapolis Marines
Velodrome,1930,1930,2,Newark,NJ,
Bison Stadium,1924,1929,24,Buffalo,NY,Buffalo Bisons
Breese Stevens Field,1929,1929,1,Madison,WI,
Kinsley Park,1929,1929,1,Providence,RI,
Knights of Columbus Stadium,1929,1929,5,East Orange,NJ,Orange Tornadoes
Minersville Park,1925,1929,32,Minersville,PA,Pottsville Maroons
Normal Park,1920,1928,31,Chicago,IL,Chicago Cardinals
Archbold Stadium,1927,1927,1,Syracuse,NY,
Luna Park,1927,1927,5,Cleveland,OH,Cleveland Bulldogs
East Hartford Velodrome,1926,1926,8,East Hartford,CT,Hartford Blues
General Field,1924,1926,7,Akron,OH,Akron Pros
Horlick Legion Field,1922,1926,21,Racine,WI,Racine Legion
Lakeside Park,1920,1926,33,Canton,OH,Canton Bulldogs
Muehlebach Field,1924,1926,6,Kansas City,MO,Kansas City Blues
Turner Field,1926,1926,1,Hammond,IN,Hammond Pros
West Side Athletic Club Field,1924,1926,3,Columbus,OH,Columbus Tigers
Clarkin Field,1925,1925,1,Hartford,CT,
DePaul Field,1920,1925,2,Chicago,IL,
Douglas Park,1920,1925,33,Rock Island,IL,Rock Island Independents
Duluth Athletic Park,1923,1925,7,Duluth,MN,Duluth Kelleys
Bellevue Park,1923,1924,12,Green Bay,WI,Green Bay Packers
Edgerton Park,1920,1924,7,Rochester,NY,Rochester Jeffersons
Nash Employees' Field,1924,1924,1,Kenosha,WI,Kenosha Maroons
Armory Park,1923,1923,3,Toledo,OH,Toledo Maroons
Buffalo Baseball Park,1920,1923,14,Buffalo,NY,Buffalo All-Americans
Gleason Park,1920,1923,2,Gary,IN,
Neil Park,1920,1923,9,Columbus,OH,Columbus Panhandles
Parkway Field,1923,1923,1,Louisville,KY,Louisville Brecks
Wooster Avenue Stadium,1923,1923,1,Akron,OH,Akron Pros
Hagemeister Park,1921,1922,9,Green Bay,WI,Green Bay Packers
Kentucky Fairgrounds,1922,1922,1,Louisville,KY,
League Park,1920,1922,15,Akron,OH,Akron Pros
Lincoln Park,1922,1922,1,Marion,OH,Oorang Indians
Swayne Field,1922,1922,6,Toledo,OH,Toledo Maroons
